,nr_procs,fill_type,work_type,time,efficiency,speedup
0,1,asc,fixed,442.24487033333327,1.0,1.0
1,2,asc,fixed,173.95169819999998,1.2711714657274134,2.5423429314548267
2,4,asc,fixed,92.84466180000001,1.1908193259564794,4.763277303825918
3,8,asc,fixed,65.3294312,0.8461823067528355,6.769458454022684
4,1,asc,imbalanced,353.46116939999996,1.0,1.0
5,2,asc,imbalanced,181.9905442,0.9710976220049129,1.9421952440098258
6,4,asc,imbalanced,94.4683966,0.9353952806477503,3.7415811225910014
7,8,asc,imbalanced,51.97601519999999,0.8500583587446696,6.800466869957357
8,1,rand,fixed,328.78087585714286,1.0,1.0
9,2,rand,fixed,195.38093716666663,0.8413842225986498,1.6827684451972995
10,4,rand,fixed,113.72933466666666,0.7227266316574752,2.8909065266299008
11,8,rand,fixed,60.411939666666676,0.680289520728949,5.442316165831592
12,1,rand,imbalanced,349.8694282,1.0,1.0
13,2,rand,imbalanced,169.51004059999997,1.032002077757747,2.064004155515494
14,4,rand,imbalanced,90.6670262,0.9647096713755459,3.8588386855021835
15,8,rand,imbalanced,47.3053856,0.9244968193431236,7.395974554744988
